iter	MultiClass
0	1.021359359
1	0.9542916196
2	0.8952324863
3	0.8428999536
4	0.796319571
5	0.7542794541
6	0.7164739288
7	0.6816673857
8	0.6504002368
9	0.6214414738
10	0.5948708434
11	0.5701705867
12	0.5469154576
13	0.5259877022
14	0.5066522263
15	0.4882625651
16	0.4713674325
17	0.4556035976
18	0.4406821269
19	0.4263304086
20	0.4125036092
21	0.3996318558
22	0.3881939704
23	0.3776071271
24	0.3671938004
25	0.3579365381
26	0.3482588985
27	0.3391048632
28	0.3313591329
29	0.323251313
30	0.3159000878
31	0.3086457871
32	0.3016331757
33	0.2952241181
34	0.2891448437
35	0.2831201131
36	0.277600935
37	0.2722397652
38	0.2675276082
39	0.2628259665
40	0.2583154467
41	0.2537721792
42	0.2493014006
43	0.2453877155
44	0.2415569785
45	0.2378614867
46	0.2343665512
47	0.2312077342
48	0.2279737173
49	0.2248936029
50	0.2216207444
51	0.2191921327
52	0.2163263215
53	0.2140330923
54	0.2113124501
55	0.2091402224
56	0.2065733264
57	0.2043420958
58	0.2018465699
59	0.2002486446
60	0.1987847361
61	0.1967672052
62	0.1953284601
63	0.1941003581
64	0.1922057519
65	0.1904747159
66	0.18920834
67	0.1880881022
68	0.1865060112
69	0.1849800708
70	0.1834755387
71	0.1818202435
72	0.1806699764
73	0.1796168767
74	0.1787534736
75	0.1774490607
76	0.1762586988
77	0.1754083451
78	0.1744482211
79	0.1734763756
80	0.1726575075
81	0.1717905095
82	0.17056156
83	0.1696152221
84	0.1688793538
85	0.1682307504
86	0.1674616044
87	0.1667232708
88	0.166189979
89	0.1656533159
90	0.1649804228
91	0.1644268011
92	0.1637866552
93	0.1629561168
94	0.162237714
95	0.1618073455
96	0.1609910835
97	0.1604499703
98	0.1600326208
99	0.1595275452
100	0.1589240611
101	0.1585112384
102	0.158087827
103	0.1575246744
104	0.15706146
105	0.1565015675
106	0.1561025112
107	0.1554989688
108	0.1551348784
109	0.1546050191
110	0.1541281717
111	0.153746356
112	0.1533278654
113	0.1529823137
114	0.1525702104
115	0.1521913103
116	0.1519556846
117	0.1516551943
118	0.1512772884
119	0.1506897892
120	0.1502443049
121	0.1497370432
122	0.1494867319
123	0.1492320907
124	0.1489339196
125	0.1486900052
126	0.1483795297
127	0.1479853548
128	0.1477254006
129	0.1474131893
130	0.1470221414
131	0.1467163285
132	0.1464123122
133	0.1462396731
134	0.1459922567
135	0.145609427
136	0.1454549445
137	0.1451206043
138	0.1447220216
139	0.1443976427
140	0.1442519083
141	0.1440002032
142	0.1438150182
143	0.1436567575
144	0.1433573788
145	0.143251496
146	0.1430599089
147	0.142896446
148	0.142648883
149	0.1422963845
150	0.1420669837
151	0.1419152522
152	0.1417149147
153	0.1414987704
154	0.1411355246
155	0.1409017608
156	0.1406263311
157	0.1402963763
158	0.1401985786
159	0.1398854227
160	0.1397182779
161	0.1395638098
162	0.1391837317
163	0.1389688882
164	0.138813385
165	0.1385462911
166	0.1384025484
167	0.138301252
168	0.1381750076
169	0.1380035577
170	0.1379098317
171	0.1376316168
172	0.1374110336
173	0.1372611546
174	0.1370671711
175	0.1368135508
176	0.1365431111
177	0.1363281947
178	0.1361727137
179	0.1359296322
180	0.1358151814
181	0.1356948702
182	0.1354844363
183	0.135314327
184	0.1350896575
185	0.1349232976
186	0.1348406146
187	0.1346269664
188	0.1344749467
189	0.1343680562
190	0.1342733686
191	0.1340733802
192	0.133950821
193	0.1337520923
194	0.1336495312
195	0.1335081792
196	0.1333950187
197	0.1332020542
198	0.1330584249
199	0.1328679085
200	0.1326655139
201	0.1325143972
202	0.1324151017
203	0.1322965645
204	0.1321220067
205	0.131906339
206	0.1316383152
207	0.1315009789
208	0.1313884946
209	0.1312048576
210	0.1310836144
211	0.1310223934
212	0.1308939841
213	0.1306823525
214	0.1305796929
215	0.1304004544
216	0.1302508282
217	0.1301505306
218	0.1299415897
219	0.1297486906
220	0.1296989916
221	0.1294830288
222	0.1293659245
223	0.1291273765
224	0.1290343888
225	0.1289506041
226	0.128860882
227	0.1287341013
228	0.1286605121
229	0.1285129758
230	0.1283859094
231	0.1282752708
232	0.1281619284
233	0.1280688861
234	0.1278840391
235	0.1277923465
236	0.127646026
237	0.1275009327
238	0.1274327006
239	0.1273179259
240	0.1271864632
241	0.1270800246
242	0.1269534449
243	0.1268556639
244	0.1267871484
245	0.1267099625
246	0.1265939918
247	0.1265177436
248	0.1264289977
249	0.1263669903
250	0.1262689363
251	0.12608238
252	0.1259854796
253	0.1258962007
254	0.1258140153
255	0.1256613115
256	0.1256037691
257	0.1254906885
258	0.1254121488
259	0.125321658
260	0.1251088882
261	0.1250130778
262	0.1248930455
263	0.124834177
264	0.1246716906
265	0.124571645
266	0.124478936
267	0.1244509
268	0.1243817667
269	0.1243366988
270	0.124199129
271	0.1241157498
272	0.1240571516
273	0.1239638079
274	0.1237789627
275	0.1237371337
276	0.1235861145
277	0.1235421801
278	0.1235072006
279	0.1234553127
280	0.1233915407
281	0.1233317665
282	0.1232786537
283	0.1231902087
284	0.1231062533
285	0.1230226991
286	0.1229212153
287	0.1227517372
288	0.1226000647
289	0.1224435271
290	0.1223921134
291	0.1223128573
292	0.1221679072
293	0.1220262712
294	0.1218833171
295	0.1217999447
296	0.1216373273
297	0.1215363111
298	0.1214814204
299	0.1214016827
300	0.1213485729
301	0.1212314187
302	0.1211497846
303	0.1210293569
304	0.1209951884
305	0.1209260404
306	0.120872568
307	0.1207980992
308	0.1207294616
309	0.1206984335
310	0.1205566388
311	0.1204312388
312	0.1203894501
313	0.120349612
314	0.1202985918
315	0.1201971323
316	0.1201650346
317	0.1201194606
318	0.1200853975
319	0.1199410332
320	0.1198320525
321	0.1197663966
322	0.1196605055
323	0.1196264667
324	0.1195556375
325	0.1194744508
326	0.1194312992
327	0.1193590039
328	0.1192878796
329	0.1192369559
330	0.119167842
331	0.1191320295
332	0.1190738086
333	0.119035525
334	0.118937831
335	0.1188788207
336	0.1187873891
337	0.1187707295
338	0.118729898
339	0.1186419289
340	0.1185676957
341	0.1184974604
342	0.1184718409
343	0.1183688748
344	0.1183009802
345	0.1182394009
346	0.1181204484
347	0.1180636801
348	0.1180104802
349	0.1179283466
350	0.1178630355
351	0.1178136455
352	0.1177690161
353	0.1177335929
354	0.1176928887
355	0.1176563927
356	0.1176203417
357	0.1175700031
358	0.1175207808
359	0.1174729935
360	0.1174524914
361	0.1173200092
362	0.1172359823
363	0.1171770531
364	0.117066907
365	0.1170274141
366	0.1169835697
367	0.1168659946
368	0.1168098286
369	0.1167439655
370	0.1166820976
371	0.1166319682
372	0.11656858
373	0.1164969491
374	0.1164422488
375	0.1163643097
376	0.1163210496
377	0.1162793774
378	0.1162416658
379	0.1161342991
380	0.1160878831
381	0.1160320562
382	0.1159877108
383	0.1159465109
384	0.1159267697
385	0.115891816
386	0.1158389063
387	0.1157579928
388	0.1157121081
389	0.1156422385
390	0.1155849961
391	0.1154732288
392	0.1153947068
393	0.1153086813
394	0.1152950696
395	0.1152124898
396	0.1151088774
397	0.1150719018
398	0.1150161393
399	0.1149850174
400	0.1149478417
401	0.1149255117
402	0.1148860767
403	0.1148416346
404	0.1147362001
405	0.1146877614
406	0.1146606043
407	0.1145744294
408	0.1145504216
409	0.114499978
410	0.1144419456
411	0.1144191166
412	0.1143406842
413	0.1143226437
414	0.1142186769
415	0.1141834608
416	0.1140987522
417	0.1140029871
418	0.1139619068
419	0.1139047024
420	0.1138859225
421	0.1138365252
422	0.113805775
423	0.1137610976
424	0.1137375606
425	0.1136708258
426	0.1136402539
427	0.1135893792
428	0.1135271126
429	0.113497698
430	0.1134828238
431	0.1133869233
432	0.1133030586
433	0.1132568155
434	0.1131878429
435	0.1131596737
436	0.1130626338
437	0.1130198452
438	0.1129730023
439	0.1129204532
440	0.1128489732
441	0.1128049731
442	0.1127679402
443	0.1127312699
444	0.1127165003
445	0.1126689589
446	0.1126162264
447	0.1125728385
448	0.1125579187
449	0.1125312329
450	0.112502618
451	0.1124696009
452	0.1124583875
453	0.1123979
454	0.1123204184
455	0.1122920884
456	0.1122725382
457	0.112257054
458	0.1122184513
459	0.1121784219
460	0.1121414825
461	0.1121140143
462	0.1120716483
463	0.1120121712
464	0.1119893074
465	0.1119260636
466	0.1119034442
467	0.1118431262
468	0.1118277
469	0.1117892148
470	0.1117423236
471	0.1116953414
472	0.1115831641
473	0.1115328393
474	0.1115100585
475	0.1114513167
476	0.1113915096
477	0.1113492023
478	0.1112804786
479	0.1112308688
480	0.1111712353
481	0.1111123263
482	0.1110932716
483	0.1110725262
484	0.1110567288
485	0.1110048673
486	0.1109888758
487	0.1109747841
488	0.1109531106
489	0.1108944321
490	0.1108627623
491	0.1107850584
492	0.1107119661
493	0.1106505275
494	0.1106322189
