iter	Passed	Remaining
0	61	61796
1	123	61816
2	202	67155
3	266	66398
4	335	66791
5	396	65672
6	457	64850
7	566	70304
8	674	74311
9	753	74582
10	813	73157
11	879	72376
12	948	72049
13	1009	71066
14	1077	70774
15	1159	71319
16	1229	71079
17	1299	70882
18	1365	70507
19	1422	69726
20	1504	70135
21	1576	70103
22	1641	69742
23	1729	70318
24	1803	70318
25	1860	69691
26	1942	69999
27	2014	69942
28	2107	70580
29	2202	71209
30	2280	71295
31	2368	71647
32	2459	72059
33	2542	72240
34	2627	72436
35	2702	72359
36	2770	72107
37	2832	71711
38	2895	71340
39	2964	71142
40	3033	70950
41	3105	70840
42	3178	70742
43	3243	70474
44	3297	69984
45	3358	69648
46	3436	69677
47	3524	69898
48	3618	70228
49	3721	70704
50	3813	70957
51	3888	70885
52	3967	70892
53	4037	70735
54	4097	70404
55	4171	70315
56	4242	70188
57	4308	69977
58	4368	69675
59	4425	69332
60	4483	69009
61	4540	68693
62	4605	68500
63	4675	68372
64	4745	68261
65	4799	67924
66	4854	67596
67	4908	67271
68	4967	67027
69	5027	66789
70	5088	66577
71	5164	66569
72	5232	66439
73	5298	66303
74	5359	66097
75	5418	65874
76	5483	65733
77	5533	65409
78	5588	65152
79	5659	65083
80	5732	65037
81	5788	64802
82	5851	64643
83	5911	64465
84	5990	64489
85	6065	64463
86	6141	64454
87	6230	64566
88	6302	64514
89	6356	64267
90	6421	64142
91	6478	63944
92	6544	63827
93	6611	63725
94	6683	63670
95	6738	63452
96	6806	63368
97	6862	63162
98	6926	63037
99	6982	62840
100	7067	62906
101	7138	62849
102	7206	62763
103	7270	62640
104	7319	62387
105	7377	62219
106	7430	62009
107	7493	61888
108	7544	61667
109	7602	61514
110	7679	61505
111	7737	61345
112	7804	61258
113	7863	61111
114	7914	60908
115	7971	60750
116	8023	60554
117	8078	60383
118	8161	60421
119	8244	60459
120	8318	60430
121	8375	60276
122	8471	60401
123	8546	60374
124	8612	60288
125	8677	60194
126	8735	60048
127	8797	59929
128	8866	59865
129	8930	59767
130	8989	59631
131	9038	59433
132	9097	59305
133	9161	59208
134	9221	59085
135	9287	59005
136	9344	58863
137	9401	58727
138	9464	58625
139	9519	58475
140	9575	58335
141	9653	58329
142	9712	58209
143	9767	58063
144	9825	57938
145	9906	57945
146	9975	57886
147	10045	57827
148	10118	57789
149	10205	57833
150	10290	57857
151	10360	57802
152	10446	57830
153	10538	57892
154	10622	57907
155	10716	57978
156	10800	57994
157	10867	57911
158	10940	57866
159	11015	57829
160	11085	57766
161	11168	57772
162	11249	57765
163	11325	57730
